task_id,priority,predicted_cpu,predicted_memory,allocated_cpu,allocated_memory,unmet_cpu,unmet_memory,allocation_status,cluster_cpu_utilization,cluster_memory_utilization
6217659576_10,4,0.007466589,0.0026374619999999,0.007466589,0.0026374619999999,0.0,0.0,FULL,0.007466589,0.0026374619999999
6217657595_29,4,0.009311527,0.0038175088,0.009311527,0.0038175088,0.0,0.0,FULL,0.009311527,0.0038175088
6221861800_18650,4,0.0126636952999999,0.0128427719999999,0.0126636952999999,0.0128427719999999,0.0,0.0,FULL,0.0126636952999999,0.0128427719999999
6217659576_10,3,0.007741,0.0005038248,0.007741,0.0005038248,0.0,0.0,FULL,0.007741,0.0005038248
6218406404_11,3,0.01153756,0.0011297628,0.01153756,0.0011297628,0.0,0.0,FULL,0.01153756,0.0011297628
6238340468_1565,3,0.0312683999999999,0.0068761899999999,0.0312683999999999,0.0068761899999999,0.0,0.0,FULL,0.0312683999999999,0.0068761899999999
6218406404_614,3,0.0150560166666666,0.0011625904,0.0150560166666666,0.0011625904,0.0,0.0,FULL,0.0150560166666666,0.0011625904
6238340468_38,3,0.0195245905639097,0.00962791,0.0195245905639097,0.00962791,0.0,0.0,FULL,0.0195245905639097,0.00962791
6238340468_348,3,0.0185705147619047,0.0134265999999999,0.0185705147619047,0.0134265999999999,0.0,0.0,FULL,0.0185705147619047,0.0134265999999999
4665896876_519,3,0.0349659399999999,0.0657325,0.0349659399999999,0.0657325,0.0,0.0,FULL,0.0349659399999999,0.0657325
6251414911_529,2,0.0465345999999999,0.0085386106666666,0.0465345999999999,0.0085386106666666,0.0,0.0,FULL,0.0465345999999999,0.0085386106666666
6238340468_91,2,0.0179021726151918,0.0133759999999999,0.0179021726151918,0.0133759999999999,0.0,0.0,FULL,0.0179021726151918,0.0133759999999999
6217657595_29,2,0.0044516898999999,0.0006364248,0.0044516898999999,0.0006364248,0.0,0.0,FULL,0.0044516898999999,0.0006364248
5285926325_0,2,0.0151428259999999,0.0056874799999999,0.0151428259999999,0.0056874799999999,0.0,0.0,FULL,0.0151428259999999,0.0056874799999999
6218406404_614,2,0.0044851374999999,0.0011664321999999,0.0044851374999999,0.0011664321999999,0.0,0.0,FULL,0.0044851374999999,0.0011664321999999
4665712499_1303,2,0.0482727999999999,0.0649716999999999,0.0482727999999999,0.0649716999999999,0.0,0.0,FULL,0.0482727999999999,0.0649716999999999
4665896876_415,1,0.0301776999999999,0.0658806999999999,0.0301776999999999,0.0658806999999999,0.0,0.0,FULL,0.0301776999999999,0.0658806999999999
793288025_0,1,0.0254030666666666,0.0079879799999999,0.0254030666666666,0.0079879799999999,0.0,0.0,FULL,0.0254030666666666,0.0079879799999999
6251414911_1933,1,0.0464278999999999,0.0086621006666666,0.0464278999999999,0.0086621006666666,0.0,0.0,FULL,0.0464278999999999,0.0086621006666666
6221861800_18650,1,0.00675037,0.0049117149999999,0.00675037,0.0049117149999999,0.0,0.0,FULL,0.00675037,0.0049117149999999
